Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392.1652,Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93792.56247,No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170.2631,Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93027.95376,No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87752.92217,Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825.0079,No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102065.7207,Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607.31762,Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,75015.86085,No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96834.57829,Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,91566.97338,Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78902.56574,No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73151.99035,Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98209.51688,Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101001.9011,Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799.35771,No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401.25928,No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73394.89622,No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645.09878,Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920.45853,Yes,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134822.6914,Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794.37128,Yes,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41495.71444,No,Decline
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89396.56667,Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539.3304,Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234.3714,Yes,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95762.52473,No,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323.29633,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272.16253,Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548.39543,Yes,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46705.71499,Yes,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772.4347,Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73376.60228,No,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118340.8764,Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849.30282,Yes,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102591.8827,Yes,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988.4687,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101462.6411,Yes,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,103457.7243,Yes,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86711.67119,Yes,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443.37363,Yes,Decline
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250.0437,Yes,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83131.77801,Yes,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129293.901,No,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836.1283,No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086.34253,No,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269.38073,No,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83784.91056,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288.0187,No,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794.4419,No,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71483.61634,Yes,Stable
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027.13423,No,Growth
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,68352.65322,No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105770.9724,Yes,Decline
AI Researcher,Education,Medium,London,High,Low,Communication,93529.74621,Yes,Decline
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,91646.59773,Yes,Decline
Software Engineer,Technology,Small,Paris,Low,High,Sales,103180.627,No,Stable
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84489.79419,No,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280.4392,Yes,Growth
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031.10254,Yes,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118237.5304,No,Stable
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,78981.77635,Yes,Growth
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,56076.41865,No,Growth
UX Designer,Education,Large,Toronto,Medium,High,Project Management,83429.30183,Yes,Growth
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,81160.63605,Yes,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,83278.52028,No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94632.96031,Yes,Growth
AI Researcher,Finance,Small,New York,Low,High,JavaScript,111956.8472,Yes,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86165.88172,Yes,Growth
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76167.6486,No,Stable
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469.06375,Yes,Stable
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636.34417,Yes,Decline
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52243.50321,Yes,Stable
Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497.33813,Yes,Stable
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881.0779,Yes,Stable
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,73532.81591,Yes,Growth
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574.3172,No,Stable
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470.3582,No,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125421.918,Yes,Decline
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,126752.1347,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820.4311,No,Growth
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825.052,Yes,Growth
AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,97115.8595,No,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370.3423,No,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115238.6775,No,Decline
AI Researcher,Education,Large,New York,Low,High,Sales,93594.36906,No,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952.45077,No,Stable
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779.2671,No,Decline
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,80562.80811,No,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049.40358,No,Decline
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,95957.89833,Yes,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,101325.6176,Yes,Decline
Sales Manager,Finance,Large,Paris,Low,Medium,Python,93002.69268,No,Decline
UX Designer,Finance,Medium,Dubai,Low,High,Project Management,102714.5907,No,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,75862.85732,Yes,Growth
UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,89145.92411,No,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,106981.709,No,Growth
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,125455.8235,Yes,Stable
Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,132528.7118,Yes,Growth
AI Researcher,Technology,Medium,Toronto,Medium,High,Sales,98659.53365,Yes,Growth
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,106800.1965,No,Growth
Data Scientist,Education,Medium,Sydney,High,Low,Python,129631.5833,No,Growth
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,76583.27927,Yes,Growth
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,102593.9971,Yes,Decline
AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,105366.859,No,Decline
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,118957.2287,Yes,Decline
HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,67257.17239,No,Stable
AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,71211.88432,No,Growth
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,90427.64422,Yes,Decline
HR Manager,Energy,Small,New York,High,Medium,Python,97554.55325,Yes,Stable
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,112457.2791,No,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,100350.8755,Yes,Decline
Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,86971.7354,Yes,Growth
HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,98329.2289,Yes,Stable
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96020.88953,Yes,Growth
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,124900.3286,No,Growth
UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,93313.17887,No,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,82338.33173,No,Growth
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,98992.1806,No,Stable
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,93969.70639,Yes,Growth
UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,58580.13289,Yes,Growth
UX Designer,Education,Medium,Tokyo,High,Low,Project Management,89686.95877,No,Growth
HR Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,87985.23509,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,79122.56268,Yes,Stable
Data Scientist,Technology,Medium,Sydney,Medium,Low,UX/UI Design,110711.6658,No,Decline
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,74286.40807,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37239,Yes,Decline
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,87042.86,No,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,92153.90011,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,98235.72582,Yes,Stable
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,63848.51232,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.21783,Yes,Decline
HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,135778.9498,No,Decline
Product Manager,Healthcare,Large,London,High,High,Python,58864.73308,Yes,Stable
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,88847.84073,No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,112464.7865,No,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,96032.38496,No,Stable
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,103759.339,Yes,Growth
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,42486.67978,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101964.9875,No,Decline
UX Designer,Technology,Small,New York,Low,Medium,Marketing,74766.23588,Yes,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,96197.54569,No,Stable
Operations Manager,Technology,Small,Dubai,High,High,Python,89411.30538,No,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,135566.6606,Yes,Stable
Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,100933.9065,No,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,87747.52341,Yes,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,59806.14481,No,Growth
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,92422.93804,Yes,Growth
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,106464.5776,No,Decline
Operations Manager,Technology,Medium,Paris,Low,Low,JavaScript,88388.96216,No,Stable
HR Manager,Technology,Medium,London,High,Medium,Data Analysis,79886.8728,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,78548.26672,No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.8287,No,Decline
AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,105187.7588,Yes,Stable
Operations Manager,Technology,Small,New York,Low,High,JavaScript,117224.2023,No,Growth
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,70100.00214,Yes,Stable
Data Scientist,Transportation,Large,Berlin,High,High,Python,100519.5512,No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92091,Yes,Stable
UX Designer,Technology,Medium,Sydney,Low,High,Project Management,88155.31591,No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98036.51708,No,Growth
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.12507,No,Stable
AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,100575.3621,Yes,Growth
Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,68850.57616,Yes,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,75003.77186,Yes,Decline
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,119717.3655,Yes,Growth
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,85588.55065,No,Growth
UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,96120.28796,No,Decline
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,111093.3262,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,99268.86145,Yes,Decline
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930.4526,Yes,Stable
HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,107891.5536,No,Decline
Data Scientist,Technology,Small,San Francisco,Low,Medium,UX/UI Design,47666.72478,Yes,Growth
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,80200.9969,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.11593,No,Growth
AI Researcher,Technology,Large,New York,High,Medium,JavaScript,117752.8861,No,Stable
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,91321.91119,Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67076,No,Stable
Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,73638.27901,Yes,Growth
Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,107677.2241,No,Growth
Product Manager,Energy,Large,London,Low,Low,Project Management,85644.52835,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89855.99908,Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.6039,Yes,Decline
Data Scientist,Transportation,Small,New York,Low,Low,Python,31969.52635,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.3502,No,Stable
HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,75378.5233,No,Stable
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,94838.72739,No,Decline
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,55906.05973,No,Decline
UX Designer,Education,Small,New York,Medium,Medium,Communication,81549.17779,Yes,Decline
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,114893.7609,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,51676.65641,No,Decline
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,112524.0017,No,Decline
Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,84526.07808,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,99743.2888,No,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,103150.4883,No,Decline
Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,98828.42999,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.98697,Yes,Stable
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,82709.01707,Yes,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,60768.87645,No,Decline
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,99835.92663,No,Growth
Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,124041.1031,No,Stable
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,53511.18227,No,Growth
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,74767.08188,Yes,Stable
Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,86364.49448,Yes,Growth
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,93466.82847,No,Growth
HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,107583.526,Yes,Decline
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,86956.00039,Yes,Growth
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,83680.82547,No,Decline
HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,112062.6141,No,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,103239.9113,No,Decline
HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,100779.5595,No,Decline
HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,92250.31423,No,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,109663.0442,No,Stable
Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,76873.81218,Yes,Stable
Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,74146.11436,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.0197,No,Growth
Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,57499.28062,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59019,No,Stable
Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,83668.83295,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.90539,No,Decline
AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,71374.64841,No,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.47815,Yes,Decline
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,110679.2651,No,Stable
Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,76940.84017,Yes,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,114267.628,No,Stable
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,91263.58455,No,Decline
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116207.694,No,Growth
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.16782,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89023.80824,No,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,97369.67207,No,Decline
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86409.79075,No,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.4829,Yes,Decline
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45848.72549,Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1108,Yes,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.4921,No,Decline
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.36342,Yes,Stable
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78953.56653,No,Growth
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72671.58777,Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.3095,Yes,Growth
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109899.6334,No,Stable
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,86749.47744,Yes,Decline
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,112139.8083,No,Decline
HR Manager,Energy,Large,Toronto,High,Low,Sales,71854.79906,No,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,68323.783,Yes,Stable
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,126266.8241,No,Growth
Product Manager,Finance,Small,Toronto,Low,Low,Python,101822.1723,No,Decline
AI Researcher,Healthcare,Small,Tokyo,Low,High,Data Analysis,117936.964,Yes,Growth
Data Scientist,Telecommunications,Large,Toronto,Low,Medium,Machine Learning,72921.20583,Yes,Growth
